Unnamed: 0,9,10,11,12,13,M,Unnamed: 7,FM APO and NC Fee,Unnamed: 9,Unnamed: 10,Unnamed: 11,1,2,3,4,5,6,7,8,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,"White = Input, Blue = formula, Green = lookup from this tab. NGS, and PTMT inputs should be cost plus markup (20% for NGS, 3% for PTMT). PostOne inputs should be PM CPP for 1-10lbs and PM Retail for 11-25lbs) RPD Inputs should be UPS Ground Comm Tariff.",Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery480,LZR,LZR_Ground_RegionalParcelDelivery,480,20.56,20.56,24.39,26.77,32.07,40.03,46.51,54.78,135.42,135.42,135.42,135.42,135.42,135.42
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery496,LZR,LZR_Ground_RegionalParcelDelivery,496,21.51,21.51,24.96,27.39,32.55,40.99,48.24,56.53,135.5,135.5,135.5,135.5,135.5,135.5
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery512,LZR,LZR_Ground_RegionalParcelDelivery,512,21.52,21.52,24.97,27.4,32.56,41.2,48.25,57.15,136.45,136.45,136.45,136.45,136.45,136.45
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery528,LZR,LZR_Ground_RegionalParcelDelivery,528,21.6,21.6,25.34,28.63,34.09,43.57,49.84,58.7,139.17,139.17,139.17,139.17,139.17,139.17
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery544,LZR,LZR_Ground_RegionalParcelDelivery,544,21.61,21.61,25.91,29.54,35.28,43.8,51.33,61.51,142.02,142.02,142.02,142.02,142.02,142.02
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery560,LZR,LZR_Ground_RegionalParcelDelivery,560,22.01,22.01,27.08,30.28,35.86,44.55,52.65,61.95,145.31,145.31,145.31,145.31,145.31,145.31
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery576,LZR,LZR_Ground_RegionalParcelDelivery,576,22.35,22.35,27.29,30.76,37.22,46.42,54.44,64.38,148.52,148.52,148.52,148.52,148.52,148.52
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery592,LZR,LZR_Ground_RegionalParcelDelivery,592,22.84,22.84,27.65,31.23,37.76,46.63,56.2,65.01,151.77,151.77,151.77,151.77,151.77,151.77
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery608,LZR,LZR_Ground_RegionalParcelDelivery,608,23.02,23.02,28.08,32.06,38.67,47.68,56.42,66.22,155.19,155.19,155.19,155.19,155.19,155.19
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery624,LZR,LZR_Ground_RegionalParcelDelivery,624,23.97,23.97,29.17,33.42,39.95,49.58,58.64,67.58,158.08,158.08,158.08,158.08,158.08,158.08
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery640,LZR,LZR_Ground_RegionalParcelDelivery,640,23.99,23.99,29.3,33.44,40.03,49.92,58.65,67.6,161.19,161.19,161.19,161.19,161.19,161.19
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery656,LZR,LZR_Ground_RegionalParcelDelivery,656,24.53,24.53,30.54,34.4,41.39,51.94,60.46,70.5,164.11,164.11,164.11,164.11,164.11,164.11
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery672,LZR,LZR_Ground_RegionalParcelDelivery,672,24.55,24.55,30.65,35.74,41.44,52.23,61.49,70.51,167.03,167.03,167.03,167.03,167.03,167.03
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery688,LZR,LZR_Ground_RegionalParcelDelivery,688,25.0,25.0,31.1,35.8,43.63,55.07,63.72,72.43,170.25,170.25,170.25,170.25,170.25,170.25
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery704,LZR,LZR_Ground_RegionalParcelDelivery,704,25.37,25.37,31.57,36.71,44.41,55.24,65.35,73.18,173.52,173.52,173.52,173.52,173.52,173.52
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery720,LZR,LZR_Ground_RegionalParcelDelivery,720,25.39,25.39,31.58,36.72,44.43,55.4,66.98,73.69,176.7,176.7,176.7,176.7,176.7,176.7
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery736,LZR,LZR_Ground_RegionalParcelDelivery,736,26.11,26.11,31.91,37.9,45.5,56.86,67.7,75.65,179.94,179.94,179.94,179.94,179.94,179.94
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery752,LZR,LZR_Ground_RegionalParcelDelivery,752,26.14,26.14,32.63,38.51,45.83,57.67,69.02,76.87,183.18,183.18,183.18,183.18,183.18,183.18
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery768,LZR,LZR_Ground_RegionalParcelDelivery,768,26.15,26.15,32.64,38.89,47.24,58.49,70.17,78.68,186.19,186.19,186.19,186.19,186.19,186.19
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery784,LZR,LZR_Ground_RegionalParcelDelivery,784,26.16,26.16,32.65,38.97,47.26,59.37,71.59,79.14,189.25,189.25,189.25,189.25,189.25,189.25
,,,,,,,,,,,,,,,,,,,,,LZR_Ground_RegionalParcelDelivery800,LZR,LZR_Ground_RegionalParcelDelivery,800,26.17,26.17,32.66,38.99,47.31,59.44,71.67,79.65,192.28,192.28,192.28,192.28,192.28,192.28
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery416,UDS,UDS_RegionalParcelDelivery,416,19.34,19.34,22.29,23.98,28.67,35.1,42.52,48.53,123.4,123.4,123.4,123.4,123.4,123.4
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery432,UDS,UDS_RegionalParcelDelivery,432,19.88,19.88,22.82,24.46,29.15,36.52,43.31,49.34,126.63,126.63,126.63,126.63,126.63,126.63
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery448,UDS,UDS_RegionalParcelDelivery,448,20.34,20.34,23.37,25.4,30.8,38.3,45.25,51.23,129.81,129.81,129.81,129.81,129.81,129.81
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery464,UDS,UDS_RegionalParcelDelivery,464,20.36,20.36,23.81,25.79,30.85,39.39,46.28,52.6,132.41,132.41,132.41,132.41,132.41,132.41
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery480,UDS,UDS_RegionalParcelDelivery,480,20.56,20.56,24.39,26.77,32.07,40.03,46.51,54.78,135.42,135.42,135.42,135.42,135.42,135.42
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery496,UDS,UDS_RegionalParcelDelivery,496,21.51,21.51,24.96,27.39,32.55,40.99,48.24,56.53,135.5,135.5,135.5,135.5,135.5,135.5
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery512,UDS,UDS_RegionalParcelDelivery,512,21.52,21.52,24.97,27.4,32.56,41.2,48.25,57.15,136.45,136.45,136.45,136.45,136.45,136.45
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery528,UDS,UDS_RegionalParcelDelivery,528,21.6,21.6,25.34,28.63,34.09,43.57,49.84,58.7,139.17,139.17,139.17,139.17,139.17,139.17
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery544,UDS,UDS_RegionalParcelDelivery,544,21.61,21.61,25.91,29.54,35.28,43.8,51.33,61.51,142.02,142.02,142.02,142.02,142.02,142.02
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery560,UDS,UDS_RegionalParcelDelivery,560,22.01,22.01,27.08,30.28,35.86,44.55,52.65,61.95,145.31,145.31,145.31,145.31,145.31,145.31
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery576,UDS,UDS_RegionalParcelDelivery,576,22.35,22.35,27.29,30.76,37.22,46.42,54.44,64.38,148.52,148.52,148.52,148.52,148.52,148.52
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery592,UDS,UDS_RegionalParcelDelivery,592,22.84,22.84,27.65,31.23,37.76,46.63,56.2,65.01,151.77,151.77,151.77,151.77,151.77,151.77
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery608,UDS,UDS_RegionalParcelDelivery,608,23.02,23.02,28.08,32.06,38.67,47.68,56.42,66.22,155.19,155.19,155.19,155.19,155.19,155.19
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery624,UDS,UDS_RegionalParcelDelivery,624,23.97,23.97,29.17,33.42,39.95,49.58,58.64,67.58,158.08,158.08,158.08,158.08,158.08,158.08
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery640,UDS,UDS_RegionalParcelDelivery,640,23.99,23.99,29.3,33.44,40.03,49.92,58.65,67.6,161.19,161.19,161.19,161.19,161.19,161.19
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery656,UDS,UDS_RegionalParcelDelivery,656,24.53,24.53,30.54,34.4,41.39,51.94,60.46,70.5,164.11,164.11,164.11,164.11,164.11,164.11
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery672,UDS,UDS_RegionalParcelDelivery,672,24.55,24.55,30.65,35.74,41.44,52.23,61.49,70.51,167.03,167.03,167.03,167.03,167.03,167.03
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery688,UDS,UDS_RegionalParcelDelivery,688,25.0,25.0,31.1,35.8,43.63,55.07,63.72,72.43,170.25,170.25,170.25,170.25,170.25,170.25
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery704,UDS,UDS_RegionalParcelDelivery,704,25.37,25.37,31.57,36.71,44.41,55.24,65.35,73.18,173.52,173.52,173.52,173.52,173.52,173.52
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery720,UDS,UDS_RegionalParcelDelivery,720,25.39,25.39,31.58,36.72,44.43,55.4,66.98,73.69,176.7,176.7,176.7,176.7,176.7,176.7
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery736,UDS,UDS_RegionalParcelDelivery,736,26.11,26.11,31.91,37.9,45.5,56.86,67.7,75.65,179.94,179.94,179.94,179.94,179.94,179.94
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery752,UDS,UDS_RegionalParcelDelivery,752,26.14,26.14,32.63,38.51,45.83,57.67,69.02,76.87,183.18,183.18,183.18,183.18,183.18,183.18
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery768,UDS,UDS_RegionalParcelDelivery,768,26.15,26.15,32.64,38.89,47.24,58.49,70.17,78.68,186.19,186.19,186.19,186.19,186.19,186.19
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery784,UDS,UDS_RegionalParcelDelivery,784,26.16,26.16,32.65,38.97,47.26,59.37,71.59,79.14,189.25,189.25,189.25,189.25,189.25,189.25
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery800,UDS,UDS_RegionalParcelDelivery,800,26.17,26.17,32.66,38.99,47.31,59.44,71.67,79.65,192.28,192.28,192.28,192.28,192.28,192.28
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery816,UDS,UDS_RegionalParcelDelivery,816,26.23,26.23,32.67,39.09,47.4,59.75,72.04,81.66,197.12,197.12,197.12,197.12,197.12,197.12
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery832,UDS,UDS_RegionalParcelDelivery,832,26.24,26.24,32.69,39.12,47.42,59.76,72.05,81.67,197.48,197.48,197.48,197.48,197.48,197.48
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery848,UDS,UDS_RegionalParcelDelivery,848,26.25,26.25,32.76,39.13,47.7,59.77,72.06,82.47,200.3,200.3,200.3,200.3,200.3,200.3
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery864,UDS,UDS_RegionalParcelDelivery,864,26.26,26.26,32.81,39.2,47.79,59.78,72.07,82.52,203.32,203.32,203.32,203.32,203.32,203.32
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery880,UDS,UDS_RegionalParcelDelivery,880,26.27,26.27,32.85,39.21,48.02,59.85,72.08,82.6,206.38,206.38,206.38,206.38,206.38,206.38
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery896,UDS,UDS_RegionalParcelDelivery,896,26.28,26.28,32.9,39.26,48.03,59.87,72.15,82.75,209.38,209.38,209.38,209.38,209.38,209.38
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery912,UDS,UDS_RegionalParcelDelivery,912,26.76,26.76,33.03,39.32,49.47,59.92,72.21,84.31,212.62,212.62,212.62,212.62,212.62,212.62
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery928,UDS,UDS_RegionalParcelDelivery,928,26.77,26.77,33.05,39.33,49.52,59.93,72.27,84.36,215.63,215.63,215.63,215.63,215.63,215.63
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery944,UDS,UDS_RegionalParcelDelivery,944,26.84,26.84,33.07,39.61,49.53,60.26,72.43,85.71,218.84,218.84,218.84,218.84,218.84,218.84
,,,,,,,,,,,,,,,,,,,,,UDS_RegionalParcelDelivery960,UDS,UDS_RegionalParcelDelivery,960,27.53,27.53,34.35,40.28,51.26,61.38,72.44,86.24,222.06,222.06,222.06,222.06,222.06,222.06
,,,,,,,,,,,,,,,,,,,,,TFC_NextDay_RegionalParcelDelivery416,TFC,TFC_NextDay_RegionalParcelDelivery,416,19.34,19.34,22.29,23.98,28.67,35.1,42.52,48.53,123.4,123.4,123.4,123.4,123.4,123.4
,,,,,,,,,,,,,,,,,,,,,TFC_NextDay_RegionalParcelDelivery432,TFC,TFC_NextDay_RegionalParcelDelivery,432,19.88,19.88,22.82,24.46,29.15,36.52,43.31,49.34,126.63,126.63,126.63,126.63,126.63,126.63
,,,,,,,,,,,,,,,,,,,,,TFC_NextDay_RegionalParcelDelivery448,TFC,TFC_NextDay_RegionalParcelDelivery,448,20.34,20.34,23.37,25.4,30.8,38.3,45.25,51.23,129.81,129.81,129.81,129.81,129.81,129.81
,,,,,,,,,,,,,,,,,,,,,TFC_NextDay_RegionalParcelDelivery464,TFC,TFC_NextDay_RegionalParcelDelivery,464,20.36,20.36,23.81,25.79,30.85,39.39,46.28,52.6,132.41,132.41,132.41,132.41,132.41,132.41
,,,,,,,,,,,,,,,,,,,,,TFC_NextDay_RegionalParcelDelivery480,TFC,TFC_NextDay_RegionalParcelDelivery,480,20.56,20.56,24.39,26.77,32.07,40.03,46.51,54.78,135.42,135.42,135.42,135.42,135.42,135.42
