Customer Number,Shipper,Location,Effective Date,Label Type,Product,Weight,Zone,Cost,Rate Type
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,6,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,6,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,6,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,6,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,6,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,6,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,6,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,6,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,6,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,6,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,6,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,6,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,7,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,7,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,7,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,7,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,7,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,7,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,7,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,7,8,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,7,9,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,7,10,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,7,11,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,7,12,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,7,13,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,7,M,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,8,1,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,8,2,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,8,3,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,8,4,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,8,5,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,8,6,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,8,7,,R
,DHL,,Delete,Xparcel_EXPPLUS,DHL_Max,8,8,,R
