Custom Setup ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
Customer,Piccard Pet Supplies,,,Avg Weekly Volume,,,,,,,Product Mapping for Forge,,,,,,Rates,,,,,,,,,,,Best Rate using lowest Cost,,,,,,,,,,,,Forge to Forge Price Transfer,,,,,,,,,,,,,,,,,,,,
# of Darwin Accounts,,,,Priority,EXP Plus,Expedited,Ground,,,,Priority,EXP Plus,Expedited,Ground,,UID,Call type,Shipper Code,Weight ,Zone,FMD,Costs,Base,Mapping Rate,Active Rates,Carrier Status,,Call Type,Carrier,Weight ,Zone,Mapping ,Active,Volume,Active Costs,USPS,Tech Fee,UID,,Effective Date,Customer ID,Shipper,Location,Label Type,Product,Weight,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,M
# of Weeks in Volume Data,1,,LZR RPD,0,0,0,0,,,LZR RPD,NO,NO,NO,NO,,ExpeditedDHL-X15.99&1,Expedited,DHL-X,15.99,1,0.28363452188006477,4.419975,6.17,,,Yes,,Expedited,,15.99,1,,,0,,,,Expedited15.991,,,,,,,,,,,,,,,,,,,,,,
,,,LSO RPD,0,0,0,0,,,LSO RPD,NO,NO,NO,NO,,ExpeditedDHL-X16&1,Expedited,DHL-X,16,1,0.3323572474377745,4.5600000000000005,6.83,,,Yes,,Expedited,,16,1,,,0,,,,Expedited161,,,,,,,,,,,,,,,,,,,,,,
,,,TFC RPD,0,0,0,0,,,TFC RPD,NO,NO,NO,NO,,ExpeditedDHL-X32&1,Expedited,DHL-X,32,1,0.260748959778086,5.33,7.21,,,Yes,,Expedited,,32,1,,,0,,,,Expedited321,,,,,,,,,,,,,,,,,,,,,,
,,,HKB,0,0,0,0,,,HKB,NO,NO,NO,NO,,ExpeditedDHL-X48&1,Expedited,DHL-X,48,1,0.21825396825396814,5.91,7.56,,,Yes,,Expedited,,48,1,,,0,,,,Expedited481,,,,,,,,,,,,,,,,,,,,,,
,,,ACI-WS,0,0,0,0,,,ACI-WS,NO,NO,NO,NO,,ExpeditedDHL-X64&1,Expedited,DHL-X,64,1,0.19078104993597944,6.32,7.81,,,Yes,,Expedited,,64,1,,,0,,,,Expedited641,,,,,,,,,,,,,,,,,,,,,,
,,,UDS RPD,0,0,0,0,,,UDS RPD,NO,NO,NO,NO,,ExpeditedDHL-X80&1,Expedited,DHL-X,80,1,0.14643304130162704,6.82,7.99,,,Yes,,Expedited,,80,1,,,0,,,,Expedited801,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ExpeditedDHL-X96&1,Expedited,DHL-X,96,1,0.12705882352941178,7.42,8.5,,,Yes,,Expedited,,96,1,,,0,,,,Expedited961,,,,,,,,,,,,,,,,,,,,,,
,,,Weekly Rev (Create Rates),1,,,,,,,,,,,,ExpeditedDHL-X112&1,Expedited,DHL-X,112,1,0.12311015118790503,8.12,9.26,,,Yes,,Expedited,,112,1,,,0,,,,Expedited1121,,,,,,,,,,,,,,,,,,,,,,
,,,Weekly Rev (est based on volume),0,,,,,,,,,,,,ExpeditedDHL-X128&1,Expedited,DHL-X,128,1,0.12130479102956182,8.62,9.81,,,Yes,,Expedited,,128,1,,,0,,,,Expedited1281,,,,,,,,,,,,,,,,,,,,,,
,,,,Priority,Expedited,Ground,,,,,,,,,,ExpeditedDHL-X144&1,Expedited,DHL-X,144,1,0.11895551257253412,9.109999999999998,10.34,,,Yes,,Expedited,,144,1,,,0,,,,Expedited1441,,,,,,,,,,,,,,,,,,,,,,
