Product,Shipper,Shipper Code,State,Customer Hub,Induction Terminal,WEIGHT BREAK,LB,1,2,3,4,5,6,7,8,Fuel Surcharge,Handling,Line Haul,Insurance,Unnamed: 20,KeyWord,Product.1,Shipper.1,Shipper Code.1,Customer Hub.1,Induction Terminal ,Linehaul,WEIGHT BREAK.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9,10,11,12,13,M
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,12.0,OZ,4.26,4.26,4.3,4.37,4.43,4.57,4.68,4.83,0.03,0.0,0.0,0.03,,DHL-GATL12,SM_Parcels_Ground,DHL,DHL-G,ATL,ATL,,12.0,3.6399999999999997,3.6399999999999997,3.78,3.9099999999999997,3.9499999999999997,4.17,4.17,4.31,6.180000000000001,6.180000000000001,6.180000000000001,6.180000000000001,6.180000000000001,6.180000000000001
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,13.0,OZ,5.433,5.433,5.503,5.543,5.633,5.823,5.973,6.133,0.0325,0.0,0.0,0.03,,DHL-GATL13,SM_Parcels_Ground,DHL,DHL-G,ATL,ATL,,13.0,3.92,3.92,4.08,4.22,4.26,4.52,4.529999999999999,4.67,7.48,7.48,7.48,7.48,7.48,7.48
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,14.0,OZ,5.435,5.435,5.505,5.545,5.635,5.825,5.975,6.135,0.035,0.0,0.0,0.03,,DHL-GATL14,SM_Parcels_Ground,DHL,DHL-G,ATL,ATL,,14.0,3.94,3.94,4.1,4.27,4.3,4.59,4.59,4.74,7.48,7.48,7.48,7.48,7.48,7.48
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,15.0,OZ,5.438,5.438,5.508,5.548,5.638,5.828,5.978,6.138,0.0375,0.0,0.0,0.03,,DHL-GATL15,SM_Parcels_Ground,DHL,DHL-G,ATL,ATL,,15.0,3.96,3.96,4.14,4.3,4.34,4.64,4.64,4.819999999999999,7.48,7.48,7.48,7.48,7.48,7.48
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,15.99,OZ,5.44,5.44,5.51,5.55,5.64,5.83,5.98,6.14,0.039975000000000004,0.0,0.0,0.03,,DHL-GATL15.99,SM_Parcels_Ground,DHL,DHL-G,ATL,ATL,,15.99,3.9899999999999998,3.9899999999999998,4.18,4.35,4.3999999999999995,4.7,4.7,4.91,7.48,7.48,7.48,7.48,7.48,7.48
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,16.0,OZ,5.44,5.44,5.51,5.55,5.64,5.83,5.98,6.14,0.04,0.0,0.0,0.03,,DHL-GATL16,SM_Parcel_Plus_Ground,DHL,DHL-G,ATL,ATL,,16.0,4.5,4.5,4.63,4.779999999999999,4.819999999999999,5.18,5.18,5.26,13.75,13.75,13.75,13.75,13.75,13.75
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,32.0,OZ,5.57,5.57,5.64,6.48,8.21,9.34,9.4,9.4,0.08,0.0,0.0,0.12,,DHL-GATL32,SM_Parcel_Plus_Ground,DHL,DHL-G,ATL,ATL,,32.0,4.92,4.92,5.21,5.47,5.59,6.13,6.1499999999999995,6.54,18.25,18.25,18.25,18.25,18.25,18.25
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,48.0,OZ,5.9,5.9,6.07,7.39,10.16,11.64,11.79,11.79,0.12,0.0,0.0,0.12,,DHL-GATL48,SM_Parcel_Plus_Ground,DHL,DHL-G,ATL,ATL,,48.0,5.47,5.47,5.91,6.279999999999999,6.49,7.17,7.359999999999999,7.97,23.65,23.65,23.65,23.65,23.65,23.65
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,64.0,OZ,6.3,6.3,6.51,8.1,11.89,13.74,13.97,13.97,0.16,0.0,0.0,0.12,,DHL-GATL64,SM_Parcel_Plus_Ground,DHL,DHL-G,ATL,ATL,,64.0,5.81,5.81,6.41,6.91,7.1899999999999995,8.02,8.37,9.19,26.65,26.65,26.65,26.65,26.65,26.65
SM_Parcel_Expedited_Max,DHL,DHL-M,FL,MCO,MCO,80.0,OZ,6.75,6.75,7.01,8.85,13.67,15.89,16.2,16.22,0.2,0.0,0.0,0.12,,DHL-GATL80,SM_Parcel_Plus_Ground,DHL,DHL-G,ATL,ATL,,80.0,6.18,6.18,6.9399999999999995,7.56,7.93,8.9,9.39,10.44,30.55,30.55,30.55,30.55,30.55,30.55
