Total Volume by transit for Xparcel volume,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Total Volume by carrier for use in populating each products volume,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,# of Weeks shipped for volume datasets,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Average Weekly shipcount and revenue for summary chart,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Average Weekly Revenue for determining Discount,Unnamed: 46,Unnamed: 47,Mapping of product to Summary,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Xparcel Volume,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Expedited,Expedited1,Expedited2,Expedited3,Expedited4,Expedited5,Expedited6,Expedited7,Expedited8,Unnamed: 68,Unnamed: 69,Ground,Ground1,Ground2,Ground3,Ground4,Ground5,Ground6,Ground7,Ground8,Unnamed: 79,Unnamed: 80,Priority,Priority1,Priority2,Priority3,Priority4,Priority5,Priority6,Priority7,Priority8,Unnamed: 90,Unnamed: 91,Exp Plus,Exp Plus1,Exp Plus2,Exp Plus3,Exp Plus4,Exp Plus5,Exp Plus6,Exp Plus7,Exp Plus8
20598Ground432,20598,Test1,Ground,432,,,,,2.0,,,,,20550ExpeditedDHL-X1,20550,Elite Marketing LLC,Expedited,DHL-X,1,,,2.0,9.0,9.0,14.0,19.0,20.0,,21895,Long Island Electrical Systems,34,297,,20598Direct Call,20598ONT RPDDirect Call,20598,Test1,ONT RPD,Direct Call,3,41.16,1,3,,Triple Arm,1000,,,,,,,21986,RSL (Customer),356439,22786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Priority1,20598,Test1,Priority,1,,,,,1.0,,,,,20550ExpeditedDHL-X2,20550,Elite Marketing LLC,Expedited,DHL-X,2,,,2.0,5.0,9.0,13.0,13.0,14.0,,21906,Strong Selfie,12,11806,,20598Direct Call,20598ONTRACDirect Call,20598,Test1,ONTRAC,Direct Call,3,57.32,2,1.5,,Virtual Label LLC,1000,,,,,,,21987,RSL (Customer),356439,75927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Priority5,20598,Test1,Priority,5,,,,,2.0,,,,,20550ExpeditedDHL-X4,20550,Elite Marketing LLC,Expedited,DHL-X,4,,,4.0,9.0,29.0,29.0,20.0,29.0,,21910,Alabama Wholesale Socks Inc,41,2507,,20598Direct Call,20598OSMDirect Call,20598,Test1,OSM,Direct Call,4,63.88,1,4,,Christmas By Krebs,1000,,,,,,,21988,RSL (Customer),356439,11175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Priority12,20598,Test1,Priority,12,,,,,20.0,,,,,20550ExpeditedDHL-X5,20550,Elite Marketing LLC,Expedited,DHL-X,5,,3.0,13.0,65.0,134.0,76.0,132.0,156.0,,21919,Nussentials,15,15,,20598Direct Call,20598PO-FCDirect Call,20598,Test1,PO-FC,Direct Call,2,12.2,1,2,,Hourglass Angel,779,,,,,,,21989,RSL (Customer),356439,12857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598Priority160,20598,Test1,Priority,160,,,,,5.0,,,,,20550ExpeditedDHL-X14,20550,Elite Marketing LLC,Expedited,DHL-X,14,,,1.0,20.0,33.0,40.0,51.0,51.0,,21929,"CHOCZERO, INC.",2,2,,20598Direct Call,20598PTMT-FCDirect Call,20598,Test1,PTMT-FC,Direct Call,1,18.7,1,1,,Cara Loren Shop LLC,750,,,,,,,21990,RSL (Customer),356439,43514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped0,20598,Test1,error - Label type not mapped,0,,,,1.0,,,,,,20550ExpeditedDHL-X15,20550,Elite Marketing LLC,Expedited,DHL-X,15,,,2.0,7.0,42.0,24.0,39.0,50.0,,21930,Pink Princess,41,14582,,20598Direct Call,20598PTMT-FCDirect Call,20598,Test1,PTMT-FC,Direct Call,6,60.2,1,6,,Easy Group LLC,750,,,,,,,22005,Nature's Fusions Essential Oils,193,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped0.4,20598,Test1,error - Label type not mapped,0.4,,,1.0,,,,,,,20550ExpeditedDHL-X160,20550,Elite Marketing LLC,Expedited,DHL-X,160,,,,,1.0,,,1.0,,21936,Herlee LLC,1,2,,20598Direct Call,20598PTMT-FCDirect Call,20598,Test1,PTMT-FC,Direct Call,8,148,1,8,,Fun Slurp,750,,,,,,,22009,West Egg Inc.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped3,20598,Test1,error - Label type not mapped,3,,,,,2.0,,,,,20550ExpeditedDHL-X176,20550,Elite Marketing LLC,Expedited,DHL-X,176,,,1.0,1.0,3.0,1.0,2.0,3.0,,21937,Baseballism Inc,3,3,,20598Direct Call,20598PTMT-FCDirect Call,20598,Test1,PTMT-FC,Direct Call,5,90.2,1,5,,Javy,700,,,,,,,22011,The Butchery Quality Meats  ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped5,20598,Test1,error - Label type not mapped,5,,,,,1.0,,,,,20550ExpeditedDHL-X224,20550,Elite Marketing LLC,Expedited,DHL-X,224,,,,,2.0,3.0,,,,21940,TeeHee Socks,39,1317,,20598Direct Call,20598PTMT-GADirect Call,20598,Test1,PTMT-GA,Direct Call,2,16.3,1,2,,Stuhrling Original LLC,634,,,,,,,22014,Quick Box Fulfillment,282508,131947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped6.4,20598,Test1,error - Label type not mapped,6.4,,,,,1.0,,,,,20550ExpeditedDHL-X336,20550,Elite Marketing LLC,Expedited,DHL-X,336,,,,,,1.0,,1.0,,21946,Busy Bod Leos,40,1638,,20598Direct Call,20598PTMT-GADirect Call,20598,Test1,PTMT-GA,Direct Call,2,23.06,1,2,,Alabama Wholesale Socks Inc,600,,,,,,,22016,Made By Mary,34249,34249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped8,20598,Test1,error - Label type not mapped,8,,,,1.0,1.0,,,,,20550ExpeditedDHL-X144,20550,Elite Marketing LLC,Expedited,DHL-X,144,,,,2.0,5.0,6.0,4.0,9.0,,21951,NovaShip,20,323,,20598Expedited,20598PTMT-GAExpedited,20598,Test1,PTMT-GA,Expedited,1,9.8,1,1,,Commend,500,,,,,,,22036,Official Exclusive LLC,102,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped10,20598,Test1,error - Label type not mapped,10,,,,2.0,3.0,,3.0,,,20550ExpeditedDHL-X240,20550,Elite Marketing LLC,Expedited,DHL-X,240,,,1.0,4.0,8.0,13.0,15.0,8.0,,21957,RPG Ventures Pte Ltd,41,4639,,20598Ground,20598PTMT-GAGround,20598,Test1,PTMT-GA,Ground,1,11.7,1,1,,Hatch Fulfillment,500,,,,,,,22037,WM Nutrition,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped12,20598,Test1,error - Label type not mapped,12,,,,2.0,,,,,,20550ExpeditedDHL-X256,20550,Elite Marketing LLC,Expedited,DHL-X,256,,,,,1.0,2.0,5.0,,,21962,Xintiandi Tech Corp,1,1,,20598Direct Call,20598PTMT-GA-CUBICDirect Call,20598,Test1,PTMT-GA-CUBIC,Direct Call,1,10.25,1,1,,Mindy Mae's Market,500,,,,,,,22045,World Event Promotions,691,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped15.99,20598,Test1,error - Label type not mapped,15.99,,,,3000.0,2.0,,,,,20550ExpeditedDHL-X3,20550,Elite Marketing LLC,Expedited,DHL-X,3,,,1.0,1.0,4.0,4.0,5.0,1.0,,21975,ShipNetwork (Customer),1,1,,20598Direct Call,20598PTMT-GA-CUBICDirect Call,20598,Test1,PTMT-GA-CUBIC,Direct Call,1,4.3,1,1,,Ocean 26,500,,,,,,,22051,LOLA,37927,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped32,20598,Test1,error - Label type not mapped,32,,,,,2.0,,,,,20550ExpeditedDHL-X208,20550,Elite Marketing LLC,Expedited,DHL-X,208,,,,1.0,3.0,,2.0,6.0,,21979,Infinite Cycles Utah Inc,41,36748,,20598Exp Plus,20598PTMT-GA-CUBICExp Plus,20598,Test1,PTMT-GA-CUBIC,Exp Plus,1,4.55,1,1,,Pac Parts,500,,,,,,,22058,Source Logistics LLC,35372,35372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped48,20598,Test1,error - Label type not mapped,48,,,5.0,,,1.0,,,,20550ExpeditedDHL-X272,20550,Elite Marketing LLC,Expedited,DHL-X,272,,,,,1.0,1.0,,,,21981,ShipNetwork (Customer),42,869700,,20598Direct Call,20598PTMT-GA-RETURNDirect Call,20598,Test1,PTMT-GA-RETURN,Direct Call,1,9.5,1,1,,Rubberbanditz,500,,,,,,,22062,Cara Loren Shop LLC,4956,4956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped80,20598,Test1,error - Label type not mapped,80,2.0,1.0,,,42.0,1.0,3.0,,,20550ExpeditedDHL-X304,20550,Elite Marketing LLC,Expedited,DHL-X,304,,,,,,,2.0,1.0,,21982,ShipNetwork (Customer),42,478562,,20598Direct Call,20598PTMT-GA-RETURNDirect Call,20598,Test1,PTMT-GA-RETURN,Direct Call,2,21.9,1,2,,Hospital Productions,478,,,,,,,22065,Alchemy Art Group LLC,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20598error - Label type not mapped160,20598,Test1,error - Label type not mapped,160,,,,,1.0,,,,,20550ExpeditedDHL-X320,20550,Elite Marketing LLC,Expedited,DHL-X,320,,,,,,,,2.0,,21984,ShipNetwork (Customer),42,299281,,20598Direct Call,20598PTMT-GA-RETURNDirect Call,20598,Test1,PTMT-GA-RETURN,Direct Call,2,23,1,2,,Electric Visual Evolution LLC,400,,,,,,,22077,J & L Cycle LLC,2972,2972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20615Expedited1,20615,Live Your Truth,Expedited,1,4.0,5.0,1.0,7.0,11.0,5.0,11.0,7.0,,20550ExpeditedDHL-X352,20550,Elite Marketing LLC,Expedited,DHL-X,352,,1.0,,2.0,,2.0,,1.0,,21986,ShipNetwork (Customer),42,172854,,20598Priority,20598PTMT-GA-RETURNPriority,20598,Test1,PTMT-GA-RETURN,Priority,1,13.65,1,1,,Impact Battery,400,,,,,,,22093,Maru Apparel,3904,3904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20615Expedited2,20615,Live Your Truth,Expedited,2,9.0,3.0,3.0,6.0,11.0,14.0,7.0,8.0,,20550ExpeditedFM-DDU15.99,20550,Elite Marketing LLC,Expedited,FM-DDU,15.99,1.0,1.0,,,,,,,,21987,ShipNetwork (Customer),42,524949,,20598Direct Call,20598RRDDirect Call,20598,Test1,RRD,Direct Call,8,74.89,1,8,,J & L Cycle LLC,400,,,,,,,22096,Netbus LLC,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20615Expedited3,20615,Live Your Truth,Expedited,3,18.0,15.0,12.0,42.0,67.0,41.0,45.0,39.0,,20550ExpeditedFM-DDU32,20550,Elite Marketing LLC,Expedited,FM-DDU,32,2.0,2.0,,,,,,,,21988,ShipNetwork (Customer),16,29518,,20598Direct Call,20598UPSDirect Call,20598,Test1,UPS,Direct Call,14,116.18,2,7,,Real Health Products Inc,395,,,,,,,22101,Grip6 LLC,11355,11355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20615Expedited4,20615,Live Your Truth,Expedited,4,189.0,105.0,125.0,294.0,496.0,335.0,338.0,218.0,,20550ExpeditedFM-DDU64,20550,Elite Marketing LLC,Expedited,FM-DDU,64,1.0,2.0,,,,,,,,21989,ShipNetwork (Customer),41,152498,,20598Direct Call,20598UPSDirect Call,20598,Test1,UPS,Direct Call,19,392.65,3,6.3333,,Ownaj,330,,,,,,,22111,ALL PURPOSE BRANDING LLC,2525,2525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
