Total Volume by transit for Xparcel volume,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Total Volume by carrier for use in populating each products volume,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,# of Weeks shipped for volume datasets,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Average Weekly shipcount and revenue for summary chart,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Average Weekly Revenue for determining Discount,Unnamed: 46,Unnamed: 47,Mapping of product to Summary,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Xparcel Volume,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Expedited,Expedited1,Expedited2,Expedited3,Expedited4,Expedited5,Expedited6,Expedited7,Expedited8,Unnamed: 68,Unnamed: 69,Ground,Ground1,Ground2,Ground3,Ground4,Ground5,Ground6,Ground7,Ground8,Unnamed: 79,Unnamed: 80,Priority,Priority1,Priority2,Priority3,Priority4,Priority5,Priority6,Priority7,Priority8,Unnamed: 90,Unnamed: 91,Exp Plus,Exp Plus1,Exp Plus2,Exp Plus3,Exp Plus4,Exp Plus5,Exp Plus6,Exp Plus7,Exp Plus8
20594Expedited12,20594,Test2,Expedited,12,,,,,3.0,,,,,20550ExpeditedACI-WS12,20550,Elite Marketing LLC,Expedited,ACI-WS,12,,,,6.0,14.0,,,,,21660,zyptest,3,53,,20598Direct Call,20598DHL-XDirect Call,20598,Test1,DHL-X,Direct Call,5,40.37,2,2.5,,Sewing Machine Plus,2598,,,,,,,21780,IFS Logix (Customer),83344,83344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20594Expedited80,20594,Test2,Expedited,80,,,,,,,5.0,,,20550ExpeditedACI-WS13,20550,Elite Marketing LLC,Expedited,ACI-WS,13,,,,5.0,10.0,,,,,21668,JessaKae,20,10297,,20598Expedited,20598DHL-XExpedited,20598,Test1,DHL-X,Expedited,1,14.15,1,1,,Grace Eleyae,2555,,,,,,,21784,Corda LLC,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20594Ground12,20594,Test2,Ground,12,,,,,7.0,,,,,20550ExpeditedACI-WS48,20550,Elite Marketing LLC,Expedited,ACI-WS,48,,,,1.0,15.0,,,,,21675,HBT International,1,1,,20598Ground,20598DHL-XGround,20598,Test1,DHL-X,Ground,1,15.5,1,1,,JSculpt Fitness,2434,,,,,,,21785,Terra di Siena USA LLC,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20594Priority12,20594,Test2,Priority,12,,,,6.0,4.0,,,,,20550ExpeditedACI-WS96,20550,Elite Marketing LLC,Expedited,ACI-WS,96,,,,1.0,3.0,,,,,21680,Cargo Cove Fulfillment,17,51,,20598Priority,20598DHL-XPriority,20598,Test1,DHL-X,Priority,1,16.57,1,1,,Live Your Truth,2152,,,,,,,21805,LOLA,37927,37921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20594error - Label type not mapped5,20594,Test2,error - Label type not mapped,5,,,,,,,5.0,,,20550ExpeditedACI-WS112,20550,Elite Marketing LLC,Expedited,ACI-WS,112,,,,2.0,22.0,,,,,21681,Elite Marketing LLC,41,111104,,20598Exp Plus,20598DHL-XExp Plus,20598,Test1,DHL-X,Exp Plus,1,18.05,1,1,,Elite Marketing (Customer),2100,,,,,,,21814,Robbins Sports,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20594error - Label type not mapped12,20594,Test2,error - Label type not mapped,12,,,,,15.0,,,,,20550ExpeditedACI-WS128,20550,Elite Marketing LLC,Expedited,ACI-WS,128,,,,2.0,13.0,,,,,21682,Persnickety Prints,2,2,,20598Direct Call,20598DHLEXDirect Call,20598,Test1,DHLEX,Direct Call,6,2450.16,1,6,,Tribe Growth Group LLC,2071,,,,,,,21826,Stuhrling Original LLC,428,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20594error - Label type not mapped15.99,20594,Test2,error - Label type not mapped,15.99,,,,3000.0,,,,,,20550ExpeditedACI-WS5,20550,Elite Marketing LLC,Expedited,ACI-WS,5,,,,,1.0,,,,,21717,Sacred Bones,41,5525,,20598Direct Call,20598DHLEXDirect Call,20598,Test1,DHLEX,Direct Call,14,62343.37,1,14,,Brightbox LLC ,2000,,,,,,,21828,Triple Arm,206,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20594error - Label type not mapped48,20594,Test2,error - Label type not mapped,48,,,,,,,1.0,,,20550ExpeditedACI-WS14,20550,Elite Marketing LLC,Expedited,ACI-WS,14,,,,,5.0,,,,,21719,Los Angeles Apparel,41,43745,,20598Direct Call,20598DHLEXDirect Call,20598,Test1,DHLEX,Direct Call,2,3.1,1,2,,Capital Printing Co,2000,,,,,,,21843,Hasko Trading Inc,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20594error - Label type not mapped64,20594,Test2,error - Label type not mapped,64,,,,,,,1.0,,,20550ExpeditedACI-WS15,20550,Elite Marketing LLC,Expedited,ACI-WS,15,,,,6.0,6.0,,,,,21723,On Demand Fulfillment,41,26839,,20598Direct Call,20598FDXDirect Call,20598,Test1,FDX,Direct Call,42,2004.67,4,10.5,,Granite Seed,2000,,,,,,,21844,eHealth Fulfillment,3390,3390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20594error - Label type not mapped80,20594,Test2,error - Label type not mapped,80,,,,,5.0,,6.0,,,20550ExpeditedACI-WS160,20550,Elite Marketing LLC,Expedited,ACI-WS,160,,,,,1.0,,,,,21725,GT Throne LLC,6,10,,20598Direct Call,20598FDXDirect Call,20598,Test1,FDX,Direct Call,24,1041.9,3,8,,LeCore Logic Inc,2000,,,,,,,21864,Tile Inc.,96868,96868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
