Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,CY USPS GA,,,,,,,,,,PY USPS GA,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,CY USPS PM,,,,,,,,,,PY USPS PM,,,,,,,,
,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
,1,,,,,,,,,,1,,,,,,,,
,2,,,,,,,,,,2,,,,,,,,
,3,,,,,,,,,,3,,,,,,,,
,4,,,,,,,,,,4,,,,,,,,
,5,,,,,,,,,,5,,,,,,,,
,6,,,,,,,,,,6,,,,,,,,
,7,,,,,,,,,,7,,,,,,,,
,8,,,,,,,,,,8,,,,,,,,
,9,,,,,,,,,,9,,,,,,,,
,10,,,,,,,,,,10,,,,,,,,
,11,,,,,,,,,,11,,,,,,,,
,12,,,,,,,,,,12,,,,,,,,
,13,,,,,,,,,,13,,,,,,,,
,14,,,,,,,,,,14,,,,,,,,
,15,,,,,,,,,,15,,,,,,,,
,15.99,,,,,,,,,,15.99,,,,,,,,
Priority16,16,7.9,8.0,8.09,8.25,9.36,9.61,9.86,10.59,,16,7.64,7.78,8.01,8.24,8.47,8.96,9.43,10.07
Priority32,32,8.34,8.47,8.73,8.97,10.34,11.59,12.84,14.22,,32,8.23,8.31,8.45,8.74,9.39,11.29,11.97,13.17
Priority48,48,8.75,8.86,9.44,9.85,11.53,13.94,16.34,19.0,,48,8.42,8.58,8.86,9.25,10.23,13.74,15.48,18.45
Priority64,64,9.04,9.13,9.91,10.45,12.32,15.97,19.61,22.65,,64,8.55,8.76,9.16,9.83,12.01,16.01,18.57,21.6
Priority80,80,9.25,9.33,10.25,10.89,13.42,18.09,22.76,26.42,,80,8.74,8.95,9.3,10.27,13.42,17.54,21.43,24.97
Priority96,96,9.46,9.52,10.61,11.33,14.35,20.19,26.02,30.3,,96,8.91,9.13,9.73,10.78,14.35,19.09,24.49,28.53
Priority112,112,9.76,9.84,11.1,11.94,15.34,21.74,28.14,32.81,,112,9.16,9.39,10.36,11.41,15.34,20.62,26.57,31.01
Priority128,128,10.17,10.23,11.63,12.58,16.39,23.33,30.26,35.33,,128,9.68,9.92,10.97,12.11,16.39,22.18,28.64,33.5
Priority144,144,10.74,10.82,12.22,13.26,17.49,24.94,32.38,37.84,,144,10.26,10.51,11.64,12.89,17.49,23.72,30.72,35.97
Priority160,160,11.46,11.53,12.83,13.96,18.57,26.54,34.5,40.24,,160,10.82,11.09,12.31,13.65,18.57,25.26,32.8,38.24
Priority176,176,12.48,12.53,13.47,14.67,19.65,28.12,36.58,42.64,,176,11.49,11.78,12.96,14.41,19.65,26.8,34.81,40.49
Priority192,192,13.11,13.18,14.07,15.37,20.8,29.7,38.6,45.03,,192,11.99,12.29,13.61,15.16,20.8,28.34,36.7,42.74
Priority208,208,13.7,13.79,14.67,16.04,21.93,31.28,40.62,47.43,,208,12.53,12.84,14.26,15.9,21.93,29.86,38.58,45.0
Priority224,224,14.21,14.35,15.22,16.65,23.05,32.85,42.64,49.83,,224,13.11,13.44,14.9,16.64,23.05,31.27,40.47,47.26
Priority240,240,14.64,14.79,15.69,17.2,24.17,34.42,44.66,52.23,,240,13.53,13.87,15.54,17.37,24.17,32.66,42.36,49.52
Priority256,256,14.98,15.15,16.09,17.68,25.29,35.99,46.68,54.62,,256,14.22,14.57,16.18,18.1,25.29,34.07,44.25,51.77
Priority272,272,15.31,15.51,16.5,18.17,26.39,37.55,48.7,57.02,,272,14.72,15.09,16.81,18.83,26.39,35.46,46.14,54.03
Priority288,288,15.7,15.91,16.94,18.67,27.5,39.11,50.71,59.41,,288,15.31,15.69,17.44,19.55,27.5,36.86,48.02,56.28
Priority304,304,16.06,16.31,17.37,19.15,28.62,40.68,52.73,61.8,,304,15.82,16.22,18.07,20.28,28.62,38.27,49.91,58.53
Priority320,320,16.78,17.24,18.46,19.81,29.72,42.24,54.75,64.21,,320,16.27,16.68,18.7,21.0,29.72,39.67,51.8,60.8
Priority336,336,17.82,18.85,19.94,21.03,30.97,44.62,58.26,68.17,,336,16.75,17.17,19.36,22.13,30.97,41.8,53.7,62.72
Priority352,352,19.14,20.5,21.8,23.22,32.68,47.25,61.82,72.17,,352,17.75,18.2,20.73,23.88,32.68,44.04,55.68,64.7
Priority368,368,20.74,22.35,24.05,26.37,35.41,50.41,65.41,76.2,,368,18.81,19.28,22.21,25.78,34.48,46.41,57.72,66.74
Priority384,384,22.6,24.4,26.68,30.51,41.53,55.28,69.03,80.27,,384,19.95,20.45,23.79,27.85,36.4,48.9,59.84,68.84
Priority400,400,24.42,26.61,29.66,35.32,48.81,60.76,72.71,84.37,,400,21.16,21.69,25.5,30.1,38.42,51.53,62.05,71.01
