Customer ID,Customer Name ,Effective Date,Data Type,Transit,Data
,Piccard Pet Supplies,2024-01-26,LSO RPD,Linehaul,
,Piccard Pet Supplies,2024-01-26,UDS RPD,Linehaul,
,Piccard Pet Supplies,2024-01-26,TFC RPD,Linehaul,
,Piccard Pet Supplies,2024-01-26,HKB,Linehaul,
,Piccard Pet Supplies,2024-01-26,DHL-X,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,DHL-G,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,DHL-M,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,NGS,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,OSM,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,PostOne,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,USPS FC,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,USPS PM,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,USPS GA,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,FM-X,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,FM-G,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,FM-P,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,FM DDU,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,ACI-WS,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,ONT RPD,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,LZR RPD,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,LSO RPD,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,UDS RPD,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,TFC RPD,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,HKB,Exp Plus,NO
,Piccard Pet Supplies,2024-01-26,DHL-X,Priority,NO
,Piccard Pet Supplies,2024-01-26,DHL-G,Priority,NO
,Piccard Pet Supplies,2024-01-26,DHL-M,Priority,National
,Piccard Pet Supplies,2024-01-26,NGS,Priority,NO
,Piccard Pet Supplies,2024-01-26,OSM,Priority,NO
,Piccard Pet Supplies,2024-01-26,PostOne,Priority,NO
,Piccard Pet Supplies,2024-01-26,USPS FC,Priority,NO
,Piccard Pet Supplies,2024-01-26,USPS PM,Priority,National
,Piccard Pet Supplies,2024-01-26,USPS GA,Priority,NO
,Piccard Pet Supplies,2024-01-26,FM-X,Priority,NO
,Piccard Pet Supplies,2024-01-26,FM-G,Priority,NO
,Piccard Pet Supplies,2024-01-26,FM-P,Priority,NO
,Piccard Pet Supplies,2024-01-26,FM DDU,Priority,NO
,Piccard Pet Supplies,2024-01-26,ACI-WS,Priority,NO
,Piccard Pet Supplies,2024-01-26,ONT RPD,Priority,NO
,Piccard Pet Supplies,2024-01-26,LZR RPD,Priority,NO
,Piccard Pet Supplies,2024-01-26,LSO RPD,Priority,NO
,Piccard Pet Supplies,2024-01-26,UDS RPD,Priority,NO
,Piccard Pet Supplies,2024-01-26,TFC RPD,Priority,NO
,Piccard Pet Supplies,2024-01-26,HKB,Priority,NO
,Piccard Pet Supplies,2024-01-26,DHL-X,Expedited,National
,Piccard Pet Supplies,2024-01-26,DHL-G,Expedited,Zip Limited
,Piccard Pet Supplies,2024-01-26,DHL-M,Expedited,NO
,Piccard Pet Supplies,2024-01-26,NGS,Expedited,NO
,Piccard Pet Supplies,2024-01-26,OSM,Expedited,NO
,Piccard Pet Supplies,2024-01-26,PostOne,Expedited,NO
,Piccard Pet Supplies,2024-01-26,USPS FC,Expedited,NO
,Piccard Pet Supplies,2024-01-26,USPS PM,Expedited,NO
,Piccard Pet Supplies,2024-01-26,USPS GA,Expedited,NO
,Piccard Pet Supplies,2024-01-26,FM-X,Expedited,NO
,Piccard Pet Supplies,2024-01-26,FM-G,Expedited,NO
,Piccard Pet Supplies,2024-01-26,FM-P,Expedited,NO
,Piccard Pet Supplies,2024-01-26,FM DDU,Expedited,NO
,Piccard Pet Supplies,2024-01-26,ACI-WS,Expedited,NO
,Piccard Pet Supplies,2024-01-26,ONT RPD,Expedited,NO
,Piccard Pet Supplies,2024-01-26,LZR RPD,Expedited,NO
,Piccard Pet Supplies,2024-01-26,LSO RPD,Expedited,NO
,Piccard Pet Supplies,2024-01-26,UDS RPD,Expedited,NO
,Piccard Pet Supplies,2024-01-26,DHL-X,Ground,Zip Limited
,Piccard Pet Supplies,2024-01-26,DHL-G,Ground,National
,Piccard Pet Supplies,2024-01-26,DHL-M,Ground,NO
,Piccard Pet Supplies,2024-01-26,NGS,Ground,NO
,Piccard Pet Supplies,2024-01-26,OSM,Ground,NO
,Piccard Pet Supplies,2024-01-26,PostOne,Ground,NO
,Piccard Pet Supplies,2024-01-26,USPS FC,Ground,NO
,Piccard Pet Supplies,2024-01-26,USPS PM,Ground,NO
,Piccard Pet Supplies,2024-01-26,USPS GA,Ground,NO
,Piccard Pet Supplies,2024-01-26,FM-X,Ground,NO
,Piccard Pet Supplies,2024-01-26,FM-G,Ground,NO
,Piccard Pet Supplies,2024-01-26,FM-P,Ground,NO
,Piccard Pet Supplies,2024-01-26,FM DDU,Ground,NO
,Piccard Pet Supplies,2024-01-26,ACI-WS,Ground,NO
,Piccard Pet Supplies,2024-01-26,ONT RPD,Ground,NO
,Piccard Pet Supplies,2024-01-26,LZR RPD,Ground,NO
,Piccard Pet Supplies,2024-01-26,LSO RPD,Ground,NO
,Piccard Pet Supplies,2024-01-26,UDS RPD,Ground,NO
,Piccard Pet Supplies,2024-01-26,TFC RPD,Ground,NO
,Piccard Pet Supplies,2024-01-26,HKB,Ground,NO
