Piccard Pet Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPARCEL,,,,,Volume based on:,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#VALUE!,,,,,,,,,,,1,2,3,4,5,6,7,8,,,Discount Adjustment ,,,,,,,,,,Proposed CY Rate,,,,,,,,,,CY Best Rate Margin,,,,,,,,,,CY USPS Customer Discount,,,,,,,,,CY USPS,,,,,,,,,,CY Base Rate,,,,,,,,,,,CY Cost,,,,,,,,,,Horizontal Parity ,,,,,,,,,,Horizontal Parity (Individual Products),,,,,,,,,,FM Discount off Base,,,,,,,,,CY Tech Fee,,,,,,,,,,,% Change in Cost Override & Flipper Box,,,,,,,,,,USPS Negative Discounts & Flipper Box,,,,,,,,,,Parity with Expedited,,,,,,,,,,CY PODGA,,,,,,,,,,Fuel Surcharge Factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,240,-,0,0,0,0,0,0,0,0,,240,,,,,,,,,,240,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,  ,  ,  ,  ,  ,  ,  ,  ,,240,,,,,,,,,,240,,,,,,,,,,240,,,,,,,,,,240,,,,,,,,,,240,,,,,,,,,,240, -   , -   , -   , -   , -   , -   , -   , -   ,,240, -   , -   , -   , -   , -   , -   , -   , -   ,,240,0%,0%,0%,0%,0%,0%,0%,0%,,240,,,,,,,,,,240,,,,,,,,,,240,,,,,,,,,,240,,,,,,,,,,240,  ,  ,  ,  ,  ,  ,  ,  ,,240,,,,,,,,,,240,,,,,,,,,,240,  ,  ,  ,  ,  ,  ,  ,  ,,240,  ,  ,  ,  ,  ,  ,  ,  ,,240,,,,,,,,,,DHL-G,No,1.055,,240,  ,  ,  ,  ,  ,  ,  ,  ,,240,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,240, -   , -   , -   , -   , -   , -   , -   , -   ,,240, (0.09), (0.08), (0.08), -   , -   , -   , -   , -   ,,240,  ,  ,  ,  ,  ,  ,  ,  ,,240,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,256,-,0,0,0,0,0,0,0,0,,256,,,,,,,,,,256,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,  ,  ,  ,  ,  ,  ,  ,  ,,256,,,,,,,,,,256,,,,,,,,,,256,,,,,,,,,,256,,,,,,,,,,256,,,,,,,,,,256, -   , -   , -   , -   , -   , -   , -   , -   ,,256, -   , -   , -   , -   , -   , -   , -   , -   ,,256,0%,0%,0%,0%,0%,0%,0%,0%,,256,,,,,,,,,,256,,,,,,,,,,256,,,,,,,,,,256,,,,,,,,,,256,  ,  ,  ,  ,  ,  ,  ,  ,,256,,,,,,,,,,256,,,,,,,,,,256,  ,  ,  ,  ,  ,  ,  ,  ,,256,  ,  ,  ,  ,  ,  ,  ,  ,,256,,,,,,,,,,DHL-G,No,1.055,,256,  ,  ,  ,  ,  ,  ,  ,  ,,256,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,256, -   , -   , -   , -   , -   , -   , -   , -   ,,256, (0.06), (0.06), (0.09), -   , -   , -   , -   , -   ,,256,  ,  ,  ,  ,  ,  ,  ,  ,,256,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,272,-,0,0,0,0,0,0,0,0,,272,,,,,,,,,,272,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,  ,  ,  ,  ,  ,  ,  ,  ,,272,,,,,,,,,,272,,,,,,,,,,272,,,,,,,,,,272,,,,,,,,,,272,,,,,,,,,,272, -   , -   , -   , -   , -   , -   , -   , -   ,,272, -   , -   , -   , -   , -   , -   , -   , -   ,,272,0%,0%,0%,0%,0%,0%,0%,0%,,272,,,,,,,,,,272,,,,,,,,,,272,,,,,,,,,,272,,,,,,,,,,272,  ,  ,  ,  ,  ,  ,  ,  ,,272,,,,,,,,,,272,,,,,,,,,,272,  ,  ,  ,  ,  ,  ,  ,  ,,272,  ,  ,  ,  ,  ,  ,  ,  ,,272,,,,,,,,,,DHL-G,No,1.055,,272,  ,  ,  ,  ,  ,  ,  ,  ,,272,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,272, -   , -   , -   , -   , -   , -   , -   , -   ,,272, -   , (0.08), (0.07), -   , -   , -   , -   , -   ,,272,  ,  ,  ,  ,  ,  ,  ,  ,,272,,,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,288,-,0,0,0,0,0,0,0,0,,288,,,,,,,,,,288,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,  ,  ,  ,  ,  ,  ,  ,  ,,288,,,,,,,,,,288,,,,,,,,,,288,,,,,,,,,,288,,,,,,,,,,288,,,,,,,,,,288, -   , -   , -   , -   , -   , -   , -   , -   ,,288, -   , -   , -   , -   , -   , -   , -   , -   ,,288,0%,0%,0%,0%,0%,0%,0%,0%,,288,,,,,,,,,,288,,,,,,,,,,288,,,,,,,,,,288,,,,,,,,,,288,  ,  ,  ,  ,  ,  ,  ,  ,,288,,,,,,,,,,288,,,,,,,,,,288,  ,  ,  ,  ,  ,  ,  ,  ,,288,  ,  ,  ,  ,  ,  ,  ,  ,,288,,,,,,,,,,DHL-G,No,1.055,,288,  ,  ,  ,  ,  ,  ,  ,  ,,288,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,288, -   , -   , -   , -   , -   , -   , -   , -   ,,288, -   , -   , (0.07), -   , -   , -   , -   , -   ,,288,  ,  ,  ,  ,  ,  ,  ,  ,,288,,,,,,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,304,-,0,0,0,0,0,0,0,0,,304,,,,,,,,,,304,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,  ,  ,  ,  ,  ,  ,  ,  ,,304,,,,,,,,,,304,,,,,,,,,,304,,,,,,,,,,304,,,,,,,,,,304,,,,,,,,,,304, -   , -   , -   , -   , -   , -   , -   , -   ,,304, -   , -   , -   , -   , -   , -   , -   , -   ,,304,0%,0%,0%,0%,0%,0%,0%,0%,,304,,,,,,,,,,304,,,,,,,,,,304,,,,,,,,,,304,,,,,,,,,,304,  ,  ,  ,  ,  ,  ,  ,  ,,304,,,,,,,,,,304,,,,,,,,,,304,  ,  ,  ,  ,  ,  ,  ,  ,,304,  ,  ,  ,  ,  ,  ,  ,  ,,304,,,,,,,,,,DHL-G,No,1.055,,304,  ,  ,  ,  ,  ,  ,  ,  ,,304,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,304, -   , -   , -   , -   , -   , -   , -   , -   ,,304, -   , -   , -   , -   , -   , -   , -   , -   ,,304,  ,  ,  ,  ,  ,  ,  ,  ,,304,,,,,,,,,,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,320,-,0,0,0,0,0,0,0,0,,320,,,,,,,,,,320,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,  ,  ,  ,  ,  ,  ,  ,  ,,320,,,,,,,,,,320,,,,,,,,,,320,,,,,,,,,,320,,,,,,,,,,320,,,,,,,,,,320, -   , -   , -   , -   , -   , -   , -   , -   ,,320, -   , -   , -   , -   , -   , -   , -   , -   ,,320,0%,0%,0%,0%,0%,0%,0%,0%,,320,,,,,,,,,,320,,,,,,,,,,320,,,,,,,,,,320,,,,,,,,,,320,  ,  ,  ,  ,  ,  ,  ,  ,,320,,,,,,,,,,320,,,,,,,,,,320,  ,  ,  ,  ,  ,  ,  ,  ,,320,  ,  ,  ,  ,  ,  ,  ,  ,,320,,,,,,,,,,DHL-G,No,1.055,,320,  ,  ,  ,  ,  ,  ,  ,  ,,320,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,320, -   , -   , -   , -   , -   , -   , -   , -   ,,320, -   , (0.00), (0.07), -   , -   , -   , -   , -   ,,320,  ,  ,  ,  ,  ,  ,  ,  ,,320,,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,336,-,0,0,0,0,0,0,0,0,,336,,,,,,,,,,336,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,  ,  ,  ,  ,  ,  ,  ,  ,,336,,,,,,,,,,336,,,,,,,,,,336,,,,,,,,,,336,,,,,,,,,,336,,,,,,,,,,336, -   , -   , -   , -   , -   , -   , -   , -   ,,336, -   , -   , -   , -   , -   , -   , -   , -   ,,336,0%,0%,0%,0%,0%,0%,0%,0%,,336,,,,,,,,,,336,,,,,,,,,,336,,,,,,,,,,336,,,,,,,,,,336,  ,  ,  ,  ,  ,  ,  ,  ,,336,,,,,,,,,,336,,,,,,,,,,336,  ,  ,  ,  ,  ,  ,  ,  ,,336,  ,  ,  ,  ,  ,  ,  ,  ,,336,,,,,,,,,,DHL-G,No,1.055,,336,  ,  ,  ,  ,  ,  ,  ,  ,,336,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,336, -   , -   , -   , -   , -   , -   , -   , -   ,,336, (0.07), (0.04), (0.08), -   , -   , -   , (0.07), (0.06),,336,  ,  ,  ,  ,  ,  ,  ,  ,,336,,,,,,,,,,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,352,-,0,0,0,0,0,0,0,0,,352,,,,,,,,,,352,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,  ,  ,  ,  ,  ,  ,  ,  ,,352,,,,,,,,,,352,,,,,,,,,,352,,,,,,,,,,352,,,,,,,,,,352,,,,,,,,,,352, -   , -   , -   , -   , -   , -   , -   , -   ,,352, -   , -   , -   , -   , -   , -   , -   , -   ,,352,0%,0%,0%,0%,0%,0%,0%,0%,,352,,,,,,,,,,352,,,,,,,,,,352,,,,,,,,,,352,,,,,,,,,,352,  ,  ,  ,  ,  ,  ,  ,  ,,352,,,,,,,,,,352,,,,,,,,,,352,  ,  ,  ,  ,  ,  ,  ,  ,,352,  ,  ,  ,  ,  ,  ,  ,  ,,352,,,,,,,,,,DHL-G,No,1.055,,352,  ,  ,  ,  ,  ,  ,  ,  ,,352,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,352, -   , -   , -   , -   , -   , -   , -   , -   ,,352, (0.09), (0.05), (0.02), (0.07), -   , (0.06), -   , -   ,,352,  ,  ,  ,  ,  ,  ,  ,  ,,352,,,,,,,,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,368,-,0,0,0,0,0,0,0,0,,368,,,,,,,,,,368,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,  ,  ,  ,  ,  ,  ,  ,  ,,368,,,,,,,,,,368,,,,,,,,,,368,,,,,,,,,,368,,,,,,,,,,368,,,,,,,,,,368, -   , -   , -   , -   , -   , -   , -   , -   ,,368, -   , -   , -   , -   , -   , -   , -   , -   ,,368,0%,0%,0%,0%,0%,0%,0%,0%,,368,,,,,,,,,,368,,,,,,,,,,368,,,,,,,,,,368,,,,,,,,,,368,  ,  ,  ,  ,  ,  ,  ,  ,,368,,,,,,,,,,368,,,,,,,,,,368,  ,  ,  ,  ,  ,  ,  ,  ,,368,  ,  ,  ,  ,  ,  ,  ,  ,,368,,,,,,,,,,DHL-G,No,1.055,,368,  ,  ,  ,  ,  ,  ,  ,  ,,368,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,368, -   , -   , -   , -   , -   , -   , -   , -   ,,368, (0.06), (0.02), -   , (0.05), (0.06), -   , -   , -   ,,368,  ,  ,  ,  ,  ,  ,  ,  ,,368,,,,,,,,,,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,384,-,0,0,0,0,0,0,0,0,,384,,,,,,,,,,384,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,  ,  ,  ,  ,  ,  ,  ,  ,,384,,,,,,,,,,384,,,,,,,,,,384,,,,,,,,,,384,,,,,,,,,,384,,,,,,,,,,384, -   , -   , -   , -   , -   , -   , -   , -   ,,384, -   , -   , -   , -   , -   , -   , -   , -   ,,384,0%,0%,0%,0%,0%,0%,0%,0%,,384,,,,,,,,,,384,,,,,,,,,,384,,,,,,,,,,384,,,,,,,,,,384,  ,  ,  ,  ,  ,  ,  ,  ,,384,,,,,,,,,,384,,,,,,,,,,384,  ,  ,  ,  ,  ,  ,  ,  ,,384,  ,  ,  ,  ,  ,  ,  ,  ,,384,,,,,,,,,,DHL-G,No,1.055,,384,  ,  ,  ,  ,  ,  ,  ,  ,,384,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,384, -   , -   , -   , -   , -   , -   , -   , -   ,,384, (0.00), -   , -   , -   , -   , -   , -   , -   ,,384,  ,  ,  ,  ,  ,  ,  ,  ,,384,,,,,,,,,,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,400,-,0,0,0,0,0,0,0,0,,400,,,,,,,,,,400,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,  ,  ,  ,  ,  ,  ,  ,  ,,400,,,,,,,,,,400,,,,,,,,,,400,,,,,,,,,,400,,,,,,,,,,400,,,,,,,,,,400, -   , -   , -   , -   , -   , -   , -   , -   ,,400, -   , -   , -   , -   , -   , -   , -   , -   ,,400,0%,0%,0%,0%,0%,0%,0%,0%,,400,,,,,,,,,,400,,,,,,,,,,400,,,,,,,,,,400,,,,,,,,,,400,  ,  ,  ,  ,  ,  ,  ,  ,,400,,,,,,,,,,400,,,,,,,,,,400,  ,  ,  ,  ,  ,  ,  ,  ,,400,  ,  ,  ,  ,  ,  ,  ,  ,,400,,,,,,,,,,DHL-G,No,1.055,,400,  ,  ,  ,  ,  ,  ,  ,  ,,400,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,400, -   , -   , -   , -   , -   , -   , -   , -   ,,400, -   , -   , -   , -   , -   , -   , -   , -   ,,400,  ,  ,  ,  ,  ,  ,  ,  ,,400,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,NGS,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,NGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,2,3,4,5,6,7,8,,,Carrier Specific Custom Rate,,,,,,,,,,Discount Adjustment ,,,,,,,,,,Proposed Rates,,,,,,,,,,CY Margin,,,,,,,,,,CY USPS Discount,,,,,,,,,,% ∆ in Customer Rate,,,,,,,,,,∆ in Margin,,,,,,,,,,YOY ∆ in USPS Discount,,,,,,,,,,Horizontal Parity ,,,,,,,,,,Vertical Parity,,,,,,,,,,Negative Margin,,,,,,,,,,% of FM Discount Given Away,,,,,,,,,,∆ in % of Discount Given to Customer,,,,,,,,,,FM Discount off Base,,,,,,,,,,PY USPS Discount,,,,,,,,,,Comparison Rate,,,,,,,,,,Comparison Margin,,,,,,,,,,PY Discount Given Away,,,,,,,,,,CY Cost,,,,,,,,,,Comparison Cost,,,,,,,,,,PY FM Discount ,,,,,,,,,Extra Info,,,,,Carrier Specific Custom Rate flipper,,,,,,,,,,"Correct Best Price, Lowest cost Flipper",,,,,,,,,,Parity Flipper,,,,,,,,,,,,,,,,,,,,Rates Carried over from Tier tool,,,,,,,,,Tech Fee Calculation ,,,,,,,,,,,Competitor Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-,-,-,-,-,-,-,-,,Apply,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,Carrier,Category,Fuel Factor,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,7,14,21,28,35,42,49,56,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,-,0,0,0,0,0,0,0,0,,1,,,,,,,,,,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,  ,  ,  ,  ,  ,  ,  ,  ,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1, -   , -   , -   , -   , -   , -   , -   , -   ,,1, -   , -   , -   , -   , -   , -   , -   , -   ,,1,0%,0%,0%,0%,0%,0%,0%,0%,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,  ,  ,  ,  ,  ,  ,  ,  ,,1,,,,,,,,,,1,,,,,,,,,,1,  ,  ,  ,  ,  ,  ,  ,  ,,1,  ,  ,  ,  ,  ,  ,  ,  ,,1,,,,,,,,,,NGS,No,1.055,,1,  ,  ,  ,  ,  ,  ,  ,  ,,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,1, -   , -   , -   , -   , -   , -   , -   , -   ,,1, -   , -   , -   , -   , -   , -   , -   , -   ,,1,  ,  ,  ,  ,  ,  ,  ,  ,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2,-,0,0,0,0,0,0,0,0,,2,,,,,,,,,,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,  ,  ,  ,  ,  ,  ,  ,  ,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2, -   , -   , -   , -   , -   , -   , -   , -   ,,2, -   , -   , -   , -   , -   , -   , -   , -   ,,2,0%,0%,0%,0%,0%,0%,0%,0%,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,2,  ,  ,  ,  ,  ,  ,  ,  ,,2,,,,,,,,,,2,,,,,,,,,,2,  ,  ,  ,  ,  ,  ,  ,  ,,2,  ,  ,  ,  ,  ,  ,  ,  ,,2,,,,,,,,,,NGS,No,1.055,,2,  ,  ,  ,  ,  ,  ,  ,  ,,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,2, -   , -   , -   , -   , -   , -   , -   , -   ,,2, -   , -   , -   , -   , -   , -   , -   , -   ,,2,  ,  ,  ,  ,  ,  ,  ,  ,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
